job_id,worker_wallet,amount_sol,tx_signature,status,timestamp,verified_found,verified_slot,verified_block_time,verified_err,checked_at
602bf2b8,FpFtUESU6Rvy7uS85sLDg7iayjczrsFNJa4Q2dFV8z6q,0.001,3w4ZkA3Lrt6BNaP2uAXSXHnCeMQAQ8EkNz2PEshscGZsE437HT5bkk35XjjMCWCN8hEf9XFdZCmSU5UEiUQMjM4K,CONFIRMED,2026-01-20 02:45:22.496937,True,394729552,1768902885,,2026-01-20T12:58:13.702074
7fa89124,FpFtUESU6Rvy7uS85sLDg7iayjczrsFNJa4Q2dFV8z6q,0.001,3w4ZkA3Lrt6BNaP2uAXSXHnCeMQAQ8EkNz2PEshscGZsE437HT5bkk35XjjMCWCN8hEf9XFdZCmSU5UEiUQMjM4K,CONFIRMED,2026-01-20 02:45:22.479025,True,394729552,1768902885,,2026-01-20T12:58:14.142603
68cede41,FpFtUESU6Rvy7uS85sLDg7iayjczrsFNJa4Q2dFV8z6q,0.001,G5S6SDG6pSeEsTwgWMXYLz2qqamWzLSNCGknX4yzZxxdQBJY6W644Kn55hhwzk7bUYdzQ7Ei1Jtz1uDg23uQ8mz,CONFIRMED,2026-01-20 02:45:22.465323,False,,,,2026-01-20T12:58:29.737245
